trial,nrows,nbins,filter,sketch_size,time (ns)
1,10000,100,filter2,4,471800.00
2,10000,100,filter2,4,460000.00
3,10000,100,filter2,4,460200.00
4,10000,100,filter2,4,479300.00
0,10000,100,filter2,8,496500.00
1,10000,100,filter2,8,478900.00
2,10000,100,filter2,8,505400.00
3,10000,100,filter2,8,484700.00
4,10000,100,filter2,8,478500.00
0,10000,100,filter3,1,398000.00
1,10000,100,filter3,1,363800.00
2,10000,100,filter3,1,365200.00
3,10000,100,filter3,1,368900.00
4,10000,100,filter3,1,368600.00
0,10000,100,filter3,2,480400.00
1,10000,100,filter3,2,494200.00
2,10000,100,filter3,2,442600.00
3,10000,100,filter3,2,475500.00
4,10000,100,filter3,2,454200.00
0,10000,100,filter3,4,493400.00
1,10000,100,filter3,4,496900.00
2,10000,100,filter3,4,552300.00
3,10000,100,filter3,4,470000.00
4,10000,100,filter3,4,454700.00
0,10000,100,filter3,8,539600.00
1,10000,100,filter3,8,509000.00
2,10000,100,filter3,8,493400.00
3,10000,100,filter3,8,468400.00
4,10000,100,filter3,8,490400.00
0,10000,1000,filter1,1,430100.00
1,10000,1000,filter1,1,382400.00
2,10000,1000,filter1,1,401100.00
3,10000,1000,filter1,1,378400.00
4,10000,1000,filter1,1,380300.00
0,10000,1000,filter1,2,421200.00
1,10000,1000,filter1,2,466300.00
2,10000,1000,filter1,2,493100.00
3,10000,1000,filter1,2,470100.00
4,10000,1000,filter1,2,424500.00
0,10000,1000,filter1,4,457100.00
1,10000,1000,filter1,4,550300.00
2,10000,1000,filter1,4,461199.00
3,10000,1000,filter1,4,523500.00
4,10000,1000,filter1,4,507200.00
0,10000,1000,filter1,8,669100.00
1,10000,1000,filter1,8,975000.00
2,10000,1000,filter1,8,599500.00
3,10000,1000,filter1,8,460800.00
4,10000,1000,filter1,8,437200.00
0,10000,1000,filter2,1,471400.00
1,10000,1000,filter2,1,425100.00
2,10000,1000,filter2,1,382300.00
3,10000,1000,filter2,1,405500.00
4,10000,1000,filter2,1,617500.00
0,10000,1000,filter2,2,752400.00
1,10000,1000,filter2,2,650600.00
2,10000,1000,filter2,2,525500.00
