trial,nrows,nbins,filter,sketch_size,time (ns)
0,10000,100,filter3,1,357000.00
1,10000,100,filter3,1,318600.00
2,10000,100,filter3,1,313300.00
3,10000,100,filter3,1,309600.00
4,10000,100,filter3,1,311300.00
0,10000,100,filter3,2,487900.00
1,10000,100,filter3,2,386600.00
2,10000,100,filter3,2,366700.00
3,10000,100,filter3,2,364600.00
4,10000,100,filter3,2,372400.00
0,10000,100,filter3,4,503300.00
1,10000,100,filter3,4,391900.00
2,10000,100,filter3,4,367900.00
3,10000,100,filter3,4,404400.00
4,10000,100,filter3,4,369200.00
0,10000,100,filter3,8,422500.00
1,10000,100,filter3,8,428100.00
2,10000,100,filter3,8,369200.00
3,10000,100,filter3,8,401200.00
4,10000,100,filter3,8,366200.00
0,10000,100,filter4,1,299800.00
1,10000,100,filter4,1,244500.00
2,10000,100,filter4,1,244200.00
3,10000,100,filter4,1,287500.00
4,10000,100,filter4,1,229800.00
0,10000,100,filter4,2,987800.00
1,10000,100,filter4,2,574500.00
2,10000,100,filter4,2,528400.00
3,10000,100,filter4,2,541000.00
4,10000,100,filter4,2,537000.00
0,10000,100,filter4,4,1242100.00
1,10000,100,filter4,4,996800.00
2,10000,100,filter4,4,910300.00
3,10000,100,filter4,4,830200.00
4,10000,100,filter4,4,829100.00
0,10000,100,filter4,8,1472100.00
1,10000,100,filter4,8,1453000.00
2,10000,100,filter4,8,1440500.00
3,10000,100,filter4,8,1493701.00
4,10000,100,filter4,8,1825400.00
0,10000,1000,filter1,1,445900.00
1,10000,1000,filter1,1,312200.00
2,10000,1000,filter1,1,340100.00
3,10000,1000,filter1,1,300500.00
4,10000,1000,filter1,1,431700.00
0,10000,1000,filter1,2,328600.00
1,10000,1000,filter1,2,311300.00
2,10000,1000,filter1,2,311200.00
3,10000,1000,filter1,2,306400.00
4,10000,1000,filter1,2,303000.00
0,10000,1000,filter1,4,345700.00
1,10000,1000,filter1,4,316100.00
2,10000,1000,filter1,4,331000.00
3,10000,1000,filter1,4,331600.00
4,10000,1000,filter1,4,316500.00
0,10000,1000,filter1,8,348600.00
1,10000,1000,filter1,8,333800.00
2,10000,1000,filter1,8,329500.00
3,10000,1000,filter1,8,424500.00
4,10000,1000,filter1,8,366300.00
0,10000,1000,filter2,1,358900.00
1,10000,1000,filter2,1,379900.00
2,10000,1000,filter2,1,380400.00
3,10000,1000,filter2,1,365300.00
4,10000,1000,filter2,1,341900.00
0,10000,1000,filter2,2,372200.00
1,10000,1000,filter2,2,327600.00
2,10000,1000,filter2,2,401400.00
3,10000,1000,filter2,2,411000.00
4,10000,1000,filter2,2,419400.00
0,10000,1000,filter2,4,476600.00
1,10000,1000,filter2,4,353400.00
2,10000,1000,filter2,4,388100.00
3,10000,1000,filter2,4,343800.00
4,10000,1000,filter2,4,334800.00
0,10000,1000,filter2,8,369600.00
1,10000,1000,filter2,8,379901.00
2,10000,1000,filter2,8,331500.00
3,10000,1000,filter2,8,375100.00
4,10000,1000,filter2,8,461500.00
0,10000,1000,filter3,1,810900.00
1,10000,1000,filter3,1,655500.00
2,10000,1000,filter3,1,328600.00
3,10000,1000,filter3,1,457100.00
4,10000,1000,filter3,1,389400.00
0,10000,1000,filter3,2,378000.00
1,10000,1000,filter3,2,332700.00
2,10000,1000,filter3,2,387400.00
3,10000,1000,filter3,2,325700.00
4,10000,1000,filter3,2,322400.00
0,10000,1000,filter3,4,362400.00
1,10000,1000,filter3,4,344900.00
