trial,nrows,nbins,filter,sketch_size,time (ns)
1,10000,100,filter2,2,548100.00
2,10000,100,filter2,2,504000.00
3,10000,100,filter2,2,502200.00
4,10000,100,filter2,2,497600.00
0,10000,100,filter2,4,850900.00
1,10000,100,filter2,4,833700.00
2,10000,100,filter2,4,1065500.00
3,10000,100,filter2,4,860400.00
4,10000,100,filter2,4,830000.00
0,10000,100,filter2,8,1487700.00
1,10000,100,filter2,8,1553500.00
2,10000,100,filter2,8,1454100.00
3,10000,100,filter2,8,1453300.00
4,10000,100,filter2,8,1462400.00
0,10000,100,filter3,1,272300.00
1,10000,100,filter3,1,270900.00
2,10000,100,filter3,1,265100.00
3,10000,100,filter3,1,265600.00
4,10000,100,filter3,1,268700.00
0,10000,100,filter3,2,336700.00
1,10000,100,filter3,2,335900.00
2,10000,100,filter3,2,335300.00
3,10000,100,filter3,2,354500.00
4,10000,100,filter3,2,330900.00
0,10000,100,filter3,4,526700.00
1,10000,100,filter3,4,454100.00
2,10000,100,filter3,4,503200.00
3,10000,100,filter3,4,477200.00
4,10000,100,filter3,4,484600.00
0,10000,100,filter3,8,666200.00
1,10000,100,filter3,8,665600.00
2,10000,100,filter3,8,662600.00
3,10000,100,filter3,8,687800.00
4,10000,100,filter3,8,664501.00
0,10000,1000,filter1,1,380600.00
1,10000,1000,filter1,1,345000.00
2,10000,1000,filter1,1,340700.00
3,10000,1000,filter1,1,340100.00
4,10000,1000,filter1,1,337800.00
0,10000,1000,filter1,2,530200.00
1,10000,1000,filter1,2,519500.00
2,10000,1000,filter1,2,519500.00
3,10000,1000,filter1,2,518100.00
4,10000,1000,filter1,2,520200.00
0,10000,1000,filter1,4,915700.00
1,10000,1000,filter1,4,818200.00
2,10000,1000,filter1,4,835000.00
3,10000,1000,filter1,4,902800.00
4,10000,1000,filter1,4,853300.00
0,10000,1000,filter1,8,1441600.00
1,10000,1000,filter1,8,1455800.00
2,10000,1000,filter1,8,1505400.00
3,10000,1000,filter1,8,1439600.00
4,10000,1000,filter1,8,1461800.00
0,10000,1000,filter2,1,331000.00
1,10000,1000,filter2,1,322900.00
2,10000,1000,filter2,1,320900.00
3,10000,1000,filter2,1,324600.00
4,10000,1000,filter2,1,371200.00
0,10000,1000,filter2,2,571500.00
1,10000,1000,filter2,2,784000.00
2,10000,1000,filter2,2,530900.00
3,10000,1000,filter2,2,495200.00
4,10000,1000,filter2,2,493500.00
0,10000,1000,filter2,4,818600.00
1,10000,1000,filter2,4,890900.00
2,10000,1000,filter2,4,945200.00
3,10000,1000,filter2,4,812400.00
4,10000,1000,filter2,4,840600.00
0,10000,1000,filter2,8,1465000.00
1,10000,1000,filter2,8,1464800.00
2,10000,1000,filter2,8,1428800.00
3,10000,1000,filter2,8,1429900.00
4,10000,1000,filter2,8,1460300.00
0,10000,1000,filter3,1,268800.00
1,10000,1000,filter3,1,262000.00
2,10000,1000,filter3,1,259600.00
3,10000,1000,filter3,1,258100.00
4,10000,1000,filter3,1,325800.00
0,10000,1000,filter3,2,331900.00
1,10000,1000,filter3,2,335700.00
2,10000,1000,filter3,2,322900.00
3,10000,1000,filter3,2,323500.00
4,10000,1000,filter3,2,324000.00
0,10000,1000,filter3,4,437600.00
1,10000,1000,filter3,4,437000.00
2,10000,1000,filter3,4,611700.00
3,10000,1000,filter3,4,644500.00
4,10000,1000,filter3,4,498200.00
0,10000,1000,filter3,8,643000.00
1,10000,1000,filter3,8,641600.00
2,10000,1000,filter3,8,635800.00
3,10000,1000,filter3,8,634500.00
4,10000,1000,filter3,8,630600.00
0,100000,10,filter1,1,1427200.00
1,100000,10,filter1,1,1216900.00
2,100000,10,filter1,1,1220500.00
3,100000,10,filter1,1,1149000.00
4,100000,10,filter1,1,1147500.00
0,100000,10,filter1,2,1692400.00
1,100000,10,filter1,2,1553800.00
2,100000,10,filter1,2,1394200.00
3,100000,10,filter1,2,1470900.00
4,100000,10,filter1,2,1696400.00
0,100000,10,filter1,4,2656200.00
1,100000,10,filter1,4,2605700.00
2,100000,10,filter1,4,2732600.00
3,100000,10,filter1,4,2617200.00
4,100000,10,filter1,4,2621200.00
0,100000,10,filter1,8,4778800.00
1,100000,10,filter1,8,5186800.00
2,100000,10,filter1,8,4789600.00
3,100000,10,filter1,8,5007400.00
4,100000,10,filter1,8,4899300.00
0,100000,10,filter2,1,1656700.00
1,100000,10,filter2,1,1624400.00
2,100000,10,filter2,1,1454700.00
3,100000,10,filter2,1,2275000.00
4,100000,10,filter2,1,1900700.00
0,100000,10,filter2,2,1802500.00
1,100000,10,filter2,2,1809100.00
2,100000,10,filter2,2,1790000.00
3,100000,10,filter2,2,2130100.00
4,100000,10,filter2,2,2471900.00
0,100000,10,filter2,4,4597400.00
1,100000,10,filter2,4,3228700.00
2,100000,10,filter2,4,3228500.00
3,100000,10,filter2,4,3238600.00
4,100000,10,filter2,4,3302200.00
0,100000,10,filter2,8,6053300.00
1,100000,10,filter2,8,5606000.00
2,100000,10,filter2,8,5890000.00
3,100000,10,filter2,8,5449500.00
4,100000,10,filter2,8,5726200.00
0,100000,10,filter3,1,1435900.00
1,100000,10,filter3,1,1335300.00
2,100000,10,filter3,1,1248100.00
3,100000,10,filter3,1,1225300.00
4,100000,10,filter3,1,1218500.00
0,100000,10,filter3,2,1371100.00
1,100000,10,filter3,2,1336100.00
2,100000,10,filter3,2,1184600.00
